"global_step","Rainbow DQN - _step","Rainbow DQN - _step__MIN","Rainbow DQN - _step__MAX","Rainbow DQN - charts/episodic_length","Rainbow DQN - charts/episodic_length__MIN","Rainbow DQN - charts/episodic_length__MAX","DQN - _step","DQN - _step__MIN","DQN - _step__MAX","DQN - charts/episodic_length","DQN - charts/episodic_length__MIN","DQN - charts/episodic_length__MAX"
"59708","","","","","","","839.5","815","864","197","197","197"
"59860","939.5","908","971","189","189","189","","","","","",""
"59933","","","","","","","816","816","816","225","225","225"
"60044","941","909","973","184","184","184","","","","","",""
"60156","","","","","","","868","868","868","223","223","223"
"60228","910","910","910","184","184","184","","","","","",""
"60376","","","","","","","818","818","818","220","220","220"
"60576","","","","","","","845.5","819","872","200","200","200"
"60605","912","912","912","189","189","189","","","","","",""
"60788","","","","","","","874","874","874","212","212","212"
"60977","","","","","","","848.5","821","876","189","189","189"
"60978","914","914","914","187","187","187","","","","","",""
"61161","965.5","915","1016","183","183","183","","","","","",""
"61205","","","","","","","822","822","822","228","228","228"
"61350","1018","1018","1018","189","189","189","","","","","",""
"61447","","","","","","","823","823","823","242","242","242"
"61534","917","917","917","184","184","184","","","","","",""
"62092","1026","1026","1026","183","183","183","","","","","",""
"62093","","","","","","","886","886","886","191","191","191"
"62280","1007.5","987","1028","188","188","188","","","","","",""
"62300","","","","","","","827","827","827","207","207","207"
"62466","988","988","988","186","186","186","","","","","",""
"62584","","","","","","","859","828","890","284","284","284"
"62651","989","989","989","185","185","185","","","","","",""
"62838","1012","990","1034","187","187","187","","","","","",""
"63015","","","","","","","830","830","830","245","245","245"
"63026","1013.5","991","1036","188","188","188","","","","","",""
"63215","1015","992","1038","189","189","189","","","","","",""
"63262","","","","","","","831","831","831","247","247","247"
"63402","1016.5","993","1040","187","187","187","","","","","",""
"63588","1042","1042","1042","186","186","186","","","","","",""
"63687","","","","","","","833","833","833","222","222","222"
"63772","995","995","995","184","184","184","","","","","",""
"63957","1046","1046","1046","185","185","185","","","","","",""
"64140","997","997","997","183","183","183","","","","","",""
"64297","","","","","","","836","836","836","204","204","204"
"64324","1024","998","1050","184","184","184","","","","","",""
"64509","1052","1052","1052","185","185","185","","","","","",""
"64697","1054","1054","1054","188","188","188","","","","","",""
"64885","1028.5","1001","1056","188","188","188","","","","","",""
"65073","1002","1002","1002","188","188","188","","","","","",""
"65215","","","","","","","949","949","949","186","186","186"
"65260","1031.5","1003","1060","187","187","187","","","","","",""
"65437","","","","","","","951","951","951","222","222","222"
"65449","1062","1062","1062","189","189","189","","","","","",""
"65638","1005","1005","1005","189","189","189","","","","","",""
"65827","1066","1066","1066","189","189","189","","","","","",""
"66058","","","","","","","844","844","844","197","197","197"
"66195","1008","1008","1008","184","184","184","","","","","",""
"66320","","","","","","","959","959","959","262","262","262"
"66380","1072","1072","1072","185","185","185","","","","","",""
"66539","","","","","","","903.5","846","961","219","219","219"
"66563","1074","1074","1074","183","183","183","","","","","",""
"66747","1011","1011","1011","184","184","184","","","","","",""
"66932","1012","1012","1012","185","185","185","","","","","",""
"67039","","","","","","","965","965","965","234","234","234"
"67118","1080","1080","1080","186","186","186","","","","","",""
"67273","","","","","","","915","915","915","234","234","234"
"67303","1118","1118","1118","185","185","185","","","","","",""
"67487","1081","1081","1081","184","184","184","","","","","",""
"67670","1122","1122","1122","183","183","183","","","","","",""
"67719","","","","","","","971","971","971","242","242","242"
"67928","","","","","","","945.5","918","973","209","209","209"
"68041","1126","1126","1126","186","186","186","","","","","",""
"68153","","","","","","","919","919","919","225","225","225"
"68227","1128","1128","1128","186","186","186","","","","","",""
"68373","","","","","","","920","920","920","220","220","220"
"68414","1108","1086","1130","187","187","187","","","","","",""
"68784","1088","1088","1088","183","183","183","","","","","",""
"68811","","","","","","","951.5","922","981","189","189","189"
"68973","1136","1136","1136","189","189","189","","","","","",""
"69220","","","","","","","924","924","924","204","204","204"
"69724","1093","1093","1093","190","190","190","","","","","",""
"69930","","","","","","","991","991","991","248","248","248"
"70154","","","","","","","928","928","928","224","224","224"
"70282","1123","1096","1150","184","184","184","","","","","",""
"70360","","","","","","","929","929","929","206","206","206"
"70562","","","","","","","997","997","997","202","202","202"
"70653","1154","1154","1154","188","188","188","","","","","",""
"70776","","","","","","","999","999","999","214","214","214"
"70838","1099","1099","1099","185","185","185","","","","","",""
"71002","","","","","","","966.5","932","1001","226","226","226"
"71027","1158","1158","1158","189","189","189","","","","","",""
"71215","","","","","","","1003","1003","1003","213","213","213"
"71400","1132","1102","1162","186","186","186","","","","","",""
"71438","","","","","","","934","934","934","223","223","223"
"71586","1164","1164","1164","186","186","186","","","","","",""
"71772","1166","1166","1166","186","186","186","","","","","",""
"71842","","","","","","","936","936","936","210","210","210"
"71960","1136.5","1105","1168","188","188","188","","","","","",""
"72079","","","","","","","974","937","1011","237","237","237"
