,_runtime,_timestamp,charts/beta,global_step,losses/td_loss,charts/episodic_length,charts/SPS,_step,losses/q_values,charts/episodic_return
340,54395.720391269,1754050095.0948634,0.81145,6857500.0,,,,295430,,
341,54450.734707922,1754050148.5252526,,6864200.0,,,,295717,0.3784846,
342,54480.742692461,1754050172.2076795,0.812032,6867200.0,,,,295849,,
343,54480.7444057,1754050177.540844,0.812074,6867900.0,,,,295877,,
344,54635.786201801,1754050339.103894,,6887917.0,,,,296737,,8.0
345,54780.824369417,1754050475.0421767,,6904900.0,,,126.0,297467,,
346,54845.846080296,1754050549.4034874,,6914300.0,,,126.0,297868,,
347,55075.909884769,1754050776.803527,,6943700.0,,,126.0,299126,,
348,55145.928178641,1754050835.4717429,,6951000.0,,,126.0,299440,,
349,55275.967941895,1754050972.5510137,,6968200.0,,,126.0,300181,,
350,55551.04748229,1754051241.88892,,7001300.0,,,,301592,0.5344432,
351,55686.085643375,1754051390.7596436,,7019600.0,,,126.0,302374,,
352,55786.116589937,1754051488.919173,,7031700.0,,,,302891,0.40139174,
353,55906.156616755,1754051611.948992,,7046900.0,,,,303543,0.43469507,
354,55956.167677286,1754051647.6693707,,7051300.0,2.0470932,,,303733,,
355,56026.189907424,1754051726.7154734,,7061100.0,,,126.0,304155,,
356,56061.201153784,1754051756.2234108,0.823888,7064800.0,,,,304316,,
357,56061.201863409,1754051762.625787,,7065600.0,,,126.0,304349,,
358,56146.222896802,1754051846.682456,,7076000.0,,,,304792,0.47678939,
359,56406.297591306,1754052108.768932,,7108700.0,2.117698,,,306192,,
360,56676.369223945,1754052377.0413327,,7142600.0,,,,307642,0.44590825,
361,56936.32191185,1754052644.733919,,7176480.0,,1172.0,,309040,,8.0
362,57261.529220275,1754052965.5818894,,7216400.0,,,126.0,310805,,
363,57291.536794412,1754052985.136003,,7218803.0,,1028.0,,310911,,
364,57421.575224535,1754053116.8620372,,7234900.0,2.100039,,,311595,,
365,57451.582587187,1754053152.5758927,,7239300.0,,,,311783,0.56121165,
366,57516.600869845,1754053217.7688954,,7247400.0,2.0083456,,,312130,,
367,57726.660687172,1754053431.6259656,,7273800.0,,,126.0,313262,,
368,57756.667331533,1754053458.7188647,,7277200.0,,,,313404,0.42875063,
369,57786.675203688,1754053485.415766,0.836836,7280600.0,,,,313551,,
370,57996.736440793,1754053695.996254,,7307100.0,,,,314687,0.47869962,
371,58141.774341445,1754053835.58332,0.839494,7324900.0,,,,315453,,
372,58241.701497196,1754053950.1135294,,7339000.0,,855.0,,316006,,9.0
373,58386.844315777,1754054079.524561,,7354800.0,,,126.0,316732,,
374,58536.887882612,1754054232.515133,,7373200.0,,,125.0,317519,,
375,58731.940406783,1754054429.535397,,7397100.0,,,,318545,0.52544606,
376,58746.945116537,1754054442.3924322,0.843922,7398700.0,,,,318615,,
377,58881.982747087,1754054582.231361,,7415800.0,1.9964414,,,319343,,
378,58942.001354213,1754054643.9534423,,7423300.0,,,125.0,319665,,
379,59002.01794596,1754054705.3932738,,7430800.0,,,125.0,319984,,
380,59162.061776497,1754054859.4535737,0.846976,7449600.0,,,,320794,,
381,59332.112937759,1754055032.188664,,7470700.0,,,125.0,321696,,
382,59402.130385903,1754055098.6173608,,7478800.0,,,125.0,322043,,
383,59557.174407377,1754055256.0316522,,7498000.0,2.0601757,,,322865,,
384,59692.211180458,1754055389.542441,0.850858,7514300.0,,,,323566,,
385,59722.220021323,1754055413.2581658,,7517200.0,,,125.0,323690,,
386,59722.220272904,1754055416.3487134,,7517600.0,,,125.0,323706,,
387,59737.224429723,1754055426.903428,,7518900.0,,,,323763,0.4413848,
388,59747.229199263,1754055448.1303356,0.85129,7521500.0,,,,323874,,
389,59972.285831913,1754055670.2110958,,7548700.0,,,,325038,0.3618972,
390,60052.307911115,1754055745.6404636,,7558000.0,2.065471,,,325436,,
391,60107.322227668,1754055804.834289,,7565200.0,,,,325746,0.3997414,
392,60277.371388507,1754055966.924526,0.8551,7585000.0,,,,326593,,
393,60332.388886822,1754056038.1482604,0.855622,7593700.0,,,,326965,,
394,60502.434145628,1754056198.237729,,7613200.0,,,125.0,327803,,
395,60982.568429805,1754056679.0293894,,7672100.0,,,125.0,330327,,
